Einrichtung;Ort;Adresse;Land;Geografische Breite;Geografische Länge;Webseite;Kuppeldurchmesser;Kuppelneigung;Mobilität;Sitzplätze;Sitzplatzanordnung;Eröffnungsjahr;Besucher pro Jahr;Optomechanischer Projektor;Hersteller des optomechanischen Projektors;Fulldome-Software;Hersteller der Fulldome-Software
Planetarium;Judenburg;Kirchplatz 1, 8750 Judenburg;AT;47,168;14,661;www.sternenturm.at;8.5;0;Stationär;65;Konzentrisch;2006;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Klagenfurt;Villacher Straße 239, 2090 Klagenfurt;AT;46,619;14,266;www.planetarium-klagenfurt.at;12.5;0;Stationär;134;Konzentrisch;1977;(unbekannt);Zeiss Spacemaster RFP;Zeiss;Sky-Skan definiti 8K compact;Sky-Skan
Planetarium;Schwaz;Alte Landstraße 15, 6130 Schwaz;AT;47,354;11,727;www.planetarium.at;8;0;Stationär;65;Konzentrisch;2001;(unbekannt);Zeiss Skymaster ZKP 3/B;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Wald im Pinzgau (Königsleiten);Königsleiten 29, 5742 Wald im Pinzgau;AT;47,248;12,116;www.sternwarte-koenigsleiten.com;7;0;Stationär;50;Konzentrisch;1997;(unbekannt);Zeiss Skymaster ZKP 3;Zeiss;;
Planetarium;Wien;Burgring 7, 1010 Wien;AT;48,205;16,36;www.nhm-wien.ac.at;8.5;0;Stationär;61;Unidirektional;2014;(unbekannt);;;E&S Digistar;Evans & Sutherland
Planetarium;Wien;Oswald-Thomas-Platz 1, 1020 Wien;AT;48,216;16,395;www.planetarium-wien.at;20;0;Stationär;192;Konzentrisch;1964;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Luzern;Lidostraße 5, 6006 Luzern;CH;47,053;8,337;www.verkehrshaus.ch;18;0;Stationär;230;Konzentrisch;1969;(unbekannt);;;E&S Digistar;Evans & Sutherland
Planetarium;Schaffhausen;Weiherweg 1, 8200 Schaffhausen;CH;47,706;8,61;www.sternwarte-schaffhausen.ch;6;0;Stationär;25;Variabel;2012;(unbekannt);;;Sky-Skan definiti Solo;Sky-Skan
Planetarium;Schwanden, Berner Oberland;Schwandenstraße 131, 3657 Schwanden ob Sigriswil;CH;46,739;7,726;www.sternwarte-planetarium.ch;8;0;Stationär;50;Konzentrisch;2000;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Karneid;Gummer 5, 39053 Karneid (BZ);IT;46,443;11,484;www.planetarium.bz.it;9.1;0;Stationär;53;Unidirektional;2013;(unbekannt);;;E&S Digistar DLP 3D;Evans & Sutherland
