institution;location;address;country_code;latitude;longitude;website;dome_diameter;dome_tilt;mobility;seats;seat_arrangement;opening_year;visitors_per_year;optomechanical_projector;optomechanical_projector_manufacturer;fulldome_software;fulldome_software_manufacturer
Planetarium;Wolfsburg;Uhlandweg 2, 38440 Wolfsburg;DE;52.4170647;10.781551574123867;www.planetarium-wolfsburg.de;15;0.0;stationary;144;concentric;1983;unknown;Zeiss Starmaster ZMP;Zeiss;Zeiss Powerdome Velvet;Zeiss
Planetarium;Flensburg;Kelmstraße 14, 24944 Flensburg;DE;54.815175499999995;9.460619231744534;www.marine.de;6;0.0;stationary;20;concentric;1944;unknown;Zeiss Skymaster ZKP 4;Zeiss;;
Planetarium;Glücksburg;Fördestraße 37, 24960 Glücksburg;DE;54.83917985;9.527502000806258;www.planetarium-gluecksburg.de;6;0.0;stationary;50;concentric;1969;unknown;;;E&S Digistar SP2HD;Evans & Sutherland
Planetarium;Kiel;Sokratesplatz 6, 24149 Kiel;DE;54.3323777;10.1812416;www.mediendom.de;9;0.0;stationary;64;concentric;2003;unknown;;;E&S Digistar;Evans & Sutherland
Planetarium;Kronshagen;Hofbrook 64, 24119 Kronshagen;DE;54.327826900000005;10.072725348691021;www.gva-kiel.de;3;0.0;stationary;15;concentric;1986;unknown;Goto EX-3;GOTO;;
Planetarium;Frankfurt am Main;Bernhard-Grzimek-Allee 6-8, 60316 Frankfurt am Main;DE;50.1146969;8.699618686359607;www.hvgg.de;4;0.0;stationary;20;variable;1989;unknown;Selbstbau;self-made;;
Planetarium;Fulda;Jesuitenplatz 2, 36037 Fulda;DE;50.55119145;9.679140714743173;www.fulda.de;6;0.0;stationary;35;concentric;1990;unknown;Zeiss Skymaster ZKP 2;Zeiss;Zeiss Spacegate Duo mit Sky-Skan DigitalSky 2;Sky-Skan
Planetarium;Kassel;An der Karlsaue 20 c, 34131 Kassel;DE;51.3110538;9.4993194;www.museum-kassel.de;10;0.0;stationary;60;concentric;1992;unknown;Zeiss Skymaster ZKP 4;Zeiss;Zeiss Velvet Duo;Zeiss
Planetarium;Bochum;Castroper Straße 67, 44791 Bochum;DE;51.48544605;7.2277105753335835;www.planetarium-bochum.de;20;0.0;stationary;260;concentric;1964;unknown;Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Erkrath;Sedentaler Straße 105, 40679 Erkrath;DE;51.2077114;6.9601355;www.planetarium-erkrath.de;10;10.0;stationary;56;unidirectional;1980;unknown;;;Sky-Skan definiti DLP 6;Sky-Skan
Planetarium;Herne;Am Böckenbusch 2a, 44652 Herne;DE;51.5264489;7.1755509;www.sternwarte-herne.de;4.5;0.0;stationary;22;concentric;1991;unknown;;;Eigenbau;self-made
Planetarium;Köln;Blücherstraße 15-17, 50733 Köln;DE;50.96679265;6.955864406869385;www.koelner-planetarium.de;6;0.0;stationary;30;concentric;1965;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Mülheim an der Ruhr;Oberstraße 92-94, 45468 Mülheim an der Ruhr;DE;51.42511095;6.895319851711275;www.rs-stadtmitte.de;6.5;0.0;stationary;15;variable;2004;unknown;RSA Cosmos Cosmodyssée III;RSA Cosmos;;
Planetarium;Münster;Sentruper Straße 285, 48161 Münster;DE;51.949413250000006;7.591184824135043;www.lwl-planetarium-muenster.de;20;0.0;stationary;265;concentric;1981;unknown;Zeiss Universarium VIII;Zeiss;E&S Digistar;Evans & Sutherland
Planetarium;Saarlouis;Großstraße 37, 66740 Saarlouis;DE;49.3023978;6.7611510500000005;www.twan-planetarium.de;10;0.0;mobile;80;unidirectional;2015;unknown;;;Eigenbau;self-made
Planetarium;Albstadt-Ebingen;Hartmannstraße 140, 72458 Albstadt-Ebingen;DE;48.2088783;9.0057265;;5;0.0;stationary;38;concentric;1985;unknown;Goto E-5;GOTO;;
Planetarium;Freiburg im Breisgau;Bismarckallee 7g, 79098 Freiburg im Breisgau;DE;47.9991364;7.843043;www.planetarium-freiburg.de;13;0.0;stationary;140;concentric;2002;unknown;Zeiss Starmaster ZMP;Zeiss;Sky-Skan definiti 4K HC;Sky-Skan
Planetarium;Heilbronn;, 74072 Heilbronn;DE;49.14002;9.211129;www.experimenta.science;21.5;20.0;stationary;150;unidirectional;2019;unknown;Zeiss Universarium IX;Zeiss;E&S Digistar, SCISS Uniview;Evans & Sutherland
Planetarium;Laupheim;Milchstraße 1, 88471 Laupheim;DE;48.21930035;9.883662062436644;www.planetarium-laupheim.de;10;0.0;stationary;60;concentric;1990;unknown;Zeiss Skymaster ZKP 4;Zeiss;Zeiss Velvet Duo;Zeiss
Planetarium;Mannheim;Wilhelm-Varnholt-Allee 1, 68165 Mannheim;DE;49.477296800000005;8.492979596645753;www.planetarium-mannheim.de;20;0.0;stationary;230;concentric;1984;unknown;Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Oberkochen;Carl-Zeiss-Straße 22, 73447 Oberkochen;DE;48.7828472;10.1006452;www.zeiss.de;4.6;0.0;stationary;10;unidirectional;2014;unknown;;;Zeiss Velvet Duo;Zeiss
Planetarium;Reutlingen;Karlstraße 40, 72764 Reutlingen;DE;48.4976632;9.2148901;www.sternwarte-reutlingen.de;4;0.0;stationary;20;concentric;1965;unknown;Goto E-5;GOTO;;
Planetarium;Stuttgart;Willy-Brandt-Straße 25, 70173 Stuttgart;DE;48.78343965;9.186892337321606;www.planetarium-stuttgart.de;20;0.0;stationary;272;concentric;1977;unknown;Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Altenmünster-Violau;St.-Michael-Straße 15, 86450 Altenmünster-Violau;DE;48.4512079;10.5742837;www.bruder-klaus-heim.de;4.5;0.0;stationary;26;concentric;1975;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Augsburg;Gallusplatz 2, 86152 Augsburg;DE;48.3759893;10.898258531934731;www.st-stephan.de;4.8;0.0;stationary;30;concentric;1983;unknown;Goto E-5;GOTO;;
Planetarium;Augsburg;Im Thäle 3, 86152 Augsburg;DE;48.3707661;10.894849285472766;www.s-planetarium.de;10;0.0;stationary;70;unidirectional;1989;unknown;;;Sky-Skan definiti DLP 7;Sky-Skan
Planetarium;Bad Tölz;Am Schlossplatz 1, 83646 Bad Tölz;DE;47.75976165;11.56210852817506;www.planetarium-toelz.de;6;0.0;stationary;35;concentric;2014;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Dieterskirchen;Roigerstr. 6, 92542 Dieterskirchen;DE;49.415898049999996;12.40865672835076;www.sternwarte-dieterskirchen.de;6;0.0;stationary;25;concentric;2014;unknown;Astrogeräte Berger, Polaris MK1;Astrogeräte Berger;Sky-Skan definiti Solo;Sky-Skan
Planetarium;München;Museumsinsel 1, 80538 München;DE;48.1300409;11.582908990594504;www.deutsches-museum.de;15;0.0;stationary;174;concentric;1925;unknown;Zeiss Skymaster ZKP 4;Zeiss;Zeiss Powerdome Velvet;Zeiss
Planetarium;Nürnberg;Am Plärrer 41, 90429 Nürnberg;DE;49.44793865;11.062888863447085;www.planetarium-nuernberg.de;18;0.0;stationary;215;concentric;1961;unknown;Zeiss Modell V;Zeiss;Sky-Skan Definiti 4K SXRD;Sky-Skan
Planetarium;Winzer;Pledlberg 1a, 94577 Winzer;DE;48.7265371;13.075818187037036;www.sternwarte-winzer.de;4;0.0;stationary;17;concentric;2007;unknown;;;Eigenbau;self-made
